  abrt-journal-core.service                                                                 ,running
  abrt-oops.service                                                                         ,running
  abrt-xorg.service                                                                         ,running
  abrtd.service                                                                             ,running
  accounts-daemon.service                                                                   ,running
  alsa-state.service                                                                        ,running
  atd.service                                                                               ,running
  auditd.service                                                                            ,running
  avahi-daemon.service                                                                      ,running
  bluetooth.service                                                                         ,running
  chronyd.service                                                                           ,running
  colord.service                                                                            ,running
  containerd.service                                                                        ,running
  crond.service                                                                             ,running
  cups.service                                                                              ,running
  dbus-:1.3-org.freedesktop.problems@0.service                                              ,running
  dbus-broker.service                                                                       ,running
  docker.service                                                                            ,running
  firewalld.service                                                                         ,running
  gssproxy.service                                                                          ,running
  irqbalance.service                                                                        ,running
  lightdm.service                                                                           ,running
  mcelog.service                                                                            ,running
  ModemManager.service                                                                      ,running
  NetworkManager.service                                                                    ,running
  pcscd.service                                                                             ,running
  polkit.service                                                                            ,running
  rsyslog.service                                                                           ,running
  rtkit-daemon.service                                                                      ,running
  smartd.service                                                                            ,running
  sshd.service                                                                              ,running
  sssd.service                                                                              ,running
  systemd-homed.service                                                                     ,running
  systemd-journald.service                                                                  ,running
  systemd-logind.service                                                                    ,running
  systemd-oomd.service                                                                      ,running
  systemd-resolved.service                                                                  ,running
  systemd-udevd.service                                                                     ,running
  systemd-userdbd.service                                                                   ,running
  udisks2.service                                                                           ,running
  upower.service                                                                            ,running
  user@1000.service                                                                         ,running
  wpa_supplicant.service                                                                    ,running
  dkms.service                                                                              ,exited
  dracut-shutdown.service                                                                   ,exited
  import-state.service                                                                      ,exited
  kmod-static-nodes.service                                                                 ,exited
  livesys-late.service                                                                      ,exited
  livesys.service                                                                           ,exited
  lm_sensors.service                                                                        ,exited
  lvm2-monitor.service                                                                      ,exited
  NetworkManager-wait-online.service                                                        ,exited
  plymouth-quit-wait.service                                                                ,exited
  plymouth-read-write.service                                                               ,exited
  plymouth-start.service                                                                    ,exited
  rpc-statd-notify.service                                                                  ,exited
  systemd-backlight@backlight:intel_backlight.service                                       ,exited
  systemd-fsck@dev-disk-by\x2duuid-739423da\x2d720b\x2d4f79\x2da1f6\x2dc622e51089af.service ,exited
  systemd-homed-activate.service                                                            ,exited
  systemd-journal-flush.service                                                             ,exited
  systemd-modules-load.service                                                              ,exited
  systemd-random-seed.service                                                               ,exited
  systemd-remount-fs.service                                                                ,exited
  systemd-sysctl.service                                                                    ,exited
  systemd-tmpfiles-setup-dev.service                                                        ,exited
  systemd-tmpfiles-setup.service                                                            ,exited
  systemd-udev-settle.service                                                               ,exited
  systemd-udev-trigger.service                                                              ,exited
  systemd-update-utmp.service                                                               ,exited
  systemd-user-sessions.service                                                             ,exited
  systemd-vconsole-setup.service                                                            ,exited
  systemd-zram-setup@zram0.service                                                          ,exited
  user-runtime-dir@1000.service                                                             ,exited
  vboxautostart-service.service                                                             ,exited
  vboxballoonctrl-service.service                                                           ,exited
  vboxdrv.service                                                                           ,exited
  vboxweb-service.service                                                                   ,exited
